Business_type,CVR,Status,address
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","39798077,37640506,42413429,42114979,33357966,33599587,40636692,35392173,41479566,28840853","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Nørregade 4,4534 Hørve,Nørregade 5A,2800 Kongens Lyngby,Claus Bergs Gade 5B, 1. tv.,5000 Odense C,Nytorv 17, 2.,1450 København K,Vandmanden 10A,9200 Aalborg SV,Solbjerg 6 ,Snejbjerg,7400 Herning,Starup Engvej 10 ,Starup,6100 Haderslev,C.F. Tietgens Boulevard 18 ,Fraugde,5220 Odense SØ,Rosenvænget 1,9400 Nørresundby,Vestergade 8,7100 Vejle"
"Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab","33153236,13594376,13733503,40655468,13866848,59663410,33780028,34088152,40167471,39251744","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Industrivej 11,8830 Tjele,Sundkrogsgade 4,2100 København Ø,Sømarksvej 9,5471 Søndersø,Katrinelund 34,7120 Vejle Øst,Sofienlystvej 7,8340 Malling,Skolegade 19,9632 Møldrup,Gammel Mønt 12, 1. th.,1117 København K,Havnevej 23,7800 Skive,Sanddalparken 7A ,Sanddal,7000 Fredericia,Bjernevej 56,5600 Faaborg"
"Anpartsselskab,Aktieselskab,Aktieselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","40116575,27263798,39860716,30555724,28135513,39378779,65273810,30908155,27506666,31164524","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Tjørnevænget 63 ,Stepping,6070 Christiansfeld,Metalgangen 1,2690 Karlslunde,Finlandsvej 8,6100 Haderslev,Skovbakkevej 22,2920 Charlottenlund,Fjordsgade 11, 2.,5000 Odense C,Vestergade 76 ,Strib,5500 Middelfart,Kohavevej 44 ,Trørød,2950 Vedbæk,Sankt Peders Stræde 34, st.,1453 København K,Industrivej Syd 9B ,Birk,7400 Herning,Knud Højgaards Vej 9,2860 Søborg"
"Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab","41682736,17766201,20153490,41523840,11864783,18998181,27118860,41623365,10888638,31364426","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Sølvgade 84,1307 København K,Saxovej 4,6000 Kolding,Ndr.Ringgade 70C,4200 Slagelse,Valby Langgade 214,2500 Valby,Sorgenfri 6,6100 Haderslev,Klodskovvej 13B ,Stubberup,4800 Nykøbing F,Holmbjergvej 31 ,Knebelbro,8420 Knebel,Skivegade 39,9900 Frederikshavn,Arne Jacobsens Allé 15,2300 København S,Lyshøj Alle 2 ,Strandhuse,6000 Kolding"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","36076461,38475002,39184699,12783671,33492693,36427809,28686293,36086416,76948216,21170240","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","H.J. Holst Vej 10,2610 Rødovre,Myntevej 40,8500 Grenaa,Møllehaven 12B,4040 Jyllinge,Toftegaardsvej 1,9620 Aalestrup,Havneholmen 29,1561 København V,Hærvejen 9 ,Bov,6330 Padborg,Pilestræde 27,1112 København K,Hørkær 20,2730 Herlev,Ibsvej 7,2680 Solrød Strand,Ryttermarken 15,3520 Farum"
"Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Aktieselskab","41152540,24622428,31631440,33353626,17511033,16755893,27967019,34219893,27384404,30717651","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Søndervej 13B ,Vejleby,4050 Skibby,Hammerholmen 24 - 28,2650 Hvidovre,Buddingevej 195,2860 Søborg,Ambolten 41A,6000 Kolding,Frederiksholms Kanal 25A,1220 København K,Stavneagervej 32,8250 Egå,Lindevangsvej 4,8240 Risskov,Holmager 19,2970 Hørsholm,Sjællandsvej 5,7330 Brande,Sædding Strandvej 20,6710 Esbjerg V"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Selskab med begrænset ansvar,Aktieselskab,Anpartsselskab,Filial af udenlandsk aktieselskab, kommanditaktieselskab,Aktieselskab,Anpartsselskab","38741756,28502095,33650043,29637865,33764464,21592048,32324037,38555219,10108926,31600200","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Møllegade 11A,3250 Gilleleje,Humlevej 16,8240 Risskov,Maglehøjvej 28,3600 Frederikssund,Rundholtsvej 57,2300 København S,Vestervej 10,3650 Ølstykke,Metalvej 7C,4000 Roskilde,Vejlebyvej 6,4534 Hørve,Lautrupsgade 7, 3. tv.,2100 København Ø,Østergade 21,7400 Herning,Ulriksholmvej 21,5230 Odense M"
"Aktieselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Aktieselskab,Anpartsselskab","20366532,32826040,29446652,36057491,41476273,12321740,26125693,38190091,58145912,37696633","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Tinvej 7 ,Benløse,4100 Ringsted,Kærmindevej 4,8381 Tilst,Dyssegårdsvej 121,2870 Dyssegård,Lykkegårdsvej 5,4000 Roskilde,Gl Færgevej 2 ,Oddesund Syd,7600 Struer,Hedelundvej 10 ,Stige,5270 Odense N,Haugstrupvej 8 ,Haugstrup,7173 Vonge,Norgesvej 11,8700 Horsens,Sofiendalsvej 94,9200 Aalborg SV,Vesterbrogade 17, 1. tv.,1620 København V"
"Erhvervsdrivende fond,Anpartsselskab,Anpartsselskab,Kommanditselskab,Aktieselskab,Anpartsselskab,Aktieselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab","38358960,31577071,37194689,40320857,56257314,14150730,38270583,41889764,38786423,41322845","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Dannebrogsgade 24,5000 Odense C,Grejsdalsvej 600,7100 Vejle,Bransagervej 10,9490 Pandrup,Pindehuggervang 11F ,Øverød,2840 Holte,Kongevejen 495,2840 Holte,Rosensgade 8,8300 Odder,Bøgeskovvej 18B ,Munkegårde,3490 Kvistgård,Tankedraget 7, 4.,9000 Aalborg,Tietgensgade 68, 5. th.,1704 København V,Tallerup Alle 8 ,Tommerup St,5690 Tommerup"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Andelsselskab med begrænset ansvar,Aktieselskab","82169210,32273114,18004070,41221364,28518781,80284128,25315804,42337722,42351113,27691218","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Romdrupvej 56,9270 Klarup,Krogerupgade 1, 3.,2200 København N,Mølletorvet 2, st. th.,4200 Slagelse,Bugattivej 7,7100 Vejle,Højbjergvej 2,5620 Glamsbjerg,Hiort Lorenzens Vej 19,6100 Haderslev,Rasmus Færchs Vej 22,7500 Holstebro,Åbogade 15,8200 Aarhus N,Hjarupvej 2 ,Vonsild,6000 Kolding,Nørrebrogade 49,6700 Esbjerg"
"Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Anpartsselskab,Filial af udenlandsk aktieselskab, kommanditaktieselskab,Anpartsselskab,Anpartsselskab","40739076,31171865,26697247,32761178,27517889,37247154,10422345,19956075,38137352,10500745","Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal","Nordre Strandvej 39D, st.,8240 Risskov,Trørødgårdsvej 20,2950 Vedbæk,Bøgholmen 12 ,Øverød,2840 Holte,Nannasgade 28,2200 København N,Temnæsvej 4 ,Båstrup,8660 Skanderborg,Nordre Strandvej 70,8240 Risskov,Bygmarken 7 - 17,3520 Farum,Bernstorffsgade 50,1577 København V,Engsvinget 34,2400 København NV,Glasvænget 8,5492 Vissenbjerg"
